Extension_ID,Style_Category,Presentation_Suitability,Slide_Applications,Color_Scheme_Adaptation,Typography_Scale,Animation_Recommendations,Contrast_Requirements,Minimum_Font_Size,Slide_Title_Size,Slide_Body_Size,Slide_Number_Size,Projector_Safety_Score,Reading_Distance,Best_For_Presentation,Worst_For_Presentation,Complexity_Score,Accessibility_Notes
1,Minimalism & Swiss Style,Very High,"Title Slide,Section Divider,Title and Content,Two Content","Adaptation: Use high-contrast versions for projection. Primary: #000000, Secondary: #FFFFFF, CTA: #0066CC for visibility","Scale: Title 44-54pt, Body 24-32pt, Captions 18-20pt","Entrance: Fade In, Slide In; Emphasis: Pulse; Transition: Fade","Contrast Ratio: 7:1 minimum for projector. Avoid dark-on-dark","Title: 44pt, Body: 24pt, Captions: 18pt","44-54pt","24-32pt","12-14pt",9/10,15-30ft,"Board presentations, Executive summaries, Formal reports","Creative showcases, Entertainment",Low,"Excellent for projection. High contrast ensures visibility. WCAG AAA compliant."
2,Neumorphism,Medium,"Title Slide,Feature List","Adaptation: Increase contrast by 30% for projection. Avoid subtle shadows. Use solid borders.","Scale: Title 40-48pt, Body 24-28pt, Captions 16-18pt","Entrance: Fade In; Emphasis: Color Font; Transition: Fade","Contrast Ratio: 5:1 minimum. Test with actual projector.","Title: 40pt, Body: 24pt, Captions: 16pt","40-48pt","24-28pt","12-14pt",6/10,15-25ft,"Health apps, Wellness presentations, Training","Data-heavy, Board meetings",Medium,"Low contrast risk on projectors. Use solid backgrounds (#F5F5F5) and clear borders."
3,Glassmorphism,High,"Title Slide,Section Divider,Two Content,Comparison","Adaptation: Increase background opacity. Use #FFFFFF or #F5F5F5 for projector-friendly glass.","Scale: Title 44-52pt, Body 24-30pt, Captions 18-20pt","Entrance: Fade In, Slide In; Emphasis: Pulse; Transition: Fade","Contrast Ratio: 5:1 minimum. Use solid background behind text.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-30pt","12-14pt",8/10,15-30ft,"Modern SaaS, Product launches, Portfolio showcases","Text-heavy, Small screens",Medium,"Good for projection. Use solid background color with subtle blur effect."
4,Brutalism,Medium,"Title Slide,Agenda,Two Content","Adaptation: Works well on projector. High contrast inherent. Avoid neon backgrounds.","Scale: Title 48-60pt, Body 24-32pt, Captions 18-20pt","Entrance: Appear, Fade In; Emphasis: Color Font; Transition: Wipe","Contrast Ratio: 7:1 minimum (inherent in style).","Title: 48pt, Body: 24pt, Captions: 18pt","48-60pt","24-32pt","12-14pt",8/10,15-30ft,"Creative presentations, Design showcases, Tech blogs","Formal business, Healthcare",Low,"Excellent visibility. Bold elements translate well to projection."
5,3D & Hyperrealism,Low,"Title Slide,Product Showcase","Adaptation: Reduce 3D effects for projection. Use flat representations of depth cues.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Slide In; Emphasis: Zoom; Transition: Push","Contrast Ratio: 5:1 minimum. Test shadows on actual projector.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",5/10,15-25ft,"Gaming, Product demos, Entertainment","Formal presentations, Small venues",High,"3D effects may not translate. Use clear depth cues and bold colors."
6,Vibrant & Block-based,Very High,"Title Slide,Agenda,Feature List,CTA Slide","Adaptation: Works excellently. Bold colors project well. Ensure text has contrast background.","Scale: Title 48-56pt, Body 24-32pt, Captions 18-20pt","Entrance: Slide In, Fade In; Emphasis: Grow with Color; Transition: Push","Contrast Ratio: 5:1 minimum. Use solid color blocks behind text.","Title: 48pt, Body: 24pt, Captions: 18pt","48-56pt","24-32pt","12-14pt",9/10,15-30ft,"Startup pitches, Creative showcases, Product launches","Conservative corporate, Formal finance",Medium,"Excellent for projection. Bold blocks create visual interest and clarity."
7,Dark Mode (OLED),Medium,"Title Slide,Section Divider,Product Demo","Adaptation: Use dark grey (#1A1A2E) instead of pure black. Avoid high brightness differences.","Scale: Title 42-50pt, Body 24-28pt, Captions 16-18pt","Entrance: Fade In; Emphasis: Pulse; Transition: Fade","Contrast Ratio: 6:1 minimum. Test on actual projector.","Title: 42pt, Body: 24pt, Captions: 16pt","42-50pt","24-28pt","12-14pt",7/10,15-25ft,"Tech conferences, Developer talks, Entertainment","Well-lit rooms, Training sessions",Low,"Good for dim rooms. Avoid pure black backgrounds which can cause issues."
8,Accessible & Ethical,Very High,"All slide types","Adaptation: Already optimized for visibility. Good choice for all presentation contexts.","Scale: Title 44-54pt, Body 26-32pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Appear; Transition: Fade","Contrast Ratio: 7:1 minimum (WCAG AAA).","Title: 44pt, Body: 26pt, Captions: 18pt","44-54pt","26-32pt","12-14pt",10/10,15-30ft,"Government, Healthcare, Education, All corporate","None - universal",Low,"Best choice for maximum visibility and accessibility."
9,Claymorphism,Medium,"Title Slide,Feature List,Team Grid","Adaptation: Increase contrast. Use solid backgrounds. Reduce shadow depth for projection.","Scale: Title 42-50pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Soft Pulse; Transition: Fade","Contrast Ratio: 5:1 minimum. Test shadows.","Title: 42pt, Body: 24pt, Captions: 18pt","42-50pt","24-28pt","12-14pt",6/10,15-25ft,"Training, Children's education, Creative agencies","Board meetings, Formal finance",Medium,"Playful style may not suit all contexts. Test on actual projector."
10,Aurora UI,Medium,"Title Slide,Hero Section","Adaptation: Reduce animation complexity. Use static gradient or simplified version.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Color Font; Transition: Fade","Contrast Ratio: 5:1 minimum. Avoid subtle gradient text.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",7/10,15-25ft,"Creative showcases, Brand presentations, Landing pages","Data-heavy, Conservative",Medium,"Gradient effects may be lost. Use bold gradient colors."
11,Retro-Futurism,Low,"Title Slide,Section Divider","Adaptation: Works well in dim rooms. Neon colors project well. Avoid subtle CRT effects.","Scale: Title 48-56pt, Body 24-30pt, Captions 18-20pt","Entrance: Slide In; Emphasis: Color Font; Transition: Push","Contrast Ratio: 6:1 minimum. Test neon colors.","Title: 48pt, Body: 24pt, Captions: 18pt","48-56pt","24-30pt","12-14pt",7/10,15-25ft,"Gaming, Entertainment, Creative tech","Formal business, Healthcare",Medium,"Nostalgic elements may not suit all audiences. Test CRT effects."
12,Flat Design,Very High,"All slide types","Adaptation: Already projector-friendly. Simple and effective for all contexts.","Scale: Title 44-54pt, Body 24-32pt, Captions 18-20pt","Entrance: Fade In, Appear; Emphasis: Color Font; Transition: Fade","Contrast Ratio: 7:1 minimum (inherent in style).","Title: 44pt, Body: 24pt, Captions: 18pt","44-54pt","24-32pt","12-14pt",10/10,15-30ft,"All presentations - universal choice","None - universal",Low,"Best choice for reliability. Minimal style works everywhere."
13,Skeuomorphism,Low,"Title Slide,Product Showcase","Adaptation: Use simplified textures. High-contrast version for projection.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Slide In; Emphasis: Zoom; Transition: Push","Contrast Ratio: 5:1 minimum. Avoid subtle textures.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",5/10,15-25ft,"Product demos, Historical presentations","Modern business, Technical",High,"Textures may not display well. Use bold, clear skeuomorphic elements."
14,Liquid Glass,Medium,"Title Slide,Section Divider","Adaptation: Reduce animation. Use solid or simplified gradient for projector.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Soft Pulse; Transition: Fade","Contrast Ratio: 5:1 minimum. Avoid complex liquid effects.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",6/10,15-25ft,"Premium products, Creative brands","Data-heavy, Conservative",Medium,"Liquid effects may be lost. Use bold colors and clear forms."
