Palette_ID,Product_Type,Keywords,Primary_Hex,Secondary_Hex,CTA_Hex,Background_Hex,Text_Hex,Border_Hex,Notes,Projector_Safety,Projector_Primary,Projector_Secondary,Projector_CTA,Projector_Background,Projector_Text,Contrast_Ratio,Dark_Background_OK,Light_Background_OK,Colorblind_Safe,Projector_Notes
1,SaaS (General),saas general, #2563EB, #3B82F6, #F97316, #F8FAFC, #1E293B, #E2E8F0,Trust blue + accent contrast,Yes,#0056B3,#2563EB,#DC2626,#FFFFFF,#1A1A1A,7:1,Yes,Yes,Yes,Standard SaaS colors work well on projectors. Use high-contrast text.
2,Micro SaaS,micro saas, #2563EB, #3B82F6, #F97316, #F8FAFC, #1E293B, #E2E8F0,Vibrant primary + white space,Yes,#0056B3,#2563EB,#DC2626,#FFFFFF,#1A1A1A,7:1,Yes,Yes,Yes,Clean and modern. Good for presentations.
3,E-commerce,commerce, #3B82F6, #60A5FA, #F97316, #F8FAFC, #1E293B, #E2E8F0,Brand primary + success green,Yes,#0056B3,#3B82F6,#DC2626,#FFFFFF,#1A1A1A,7:1,Yes,Yes,Yes,Use accent colors sparingly for CTAs.
4,E-commerce Luxury,commerce luxury, #1C1917, #44403C, #CA8A04, #FAFAF9, #0C0A09, #D6D3D1,Premium colors + minimal accent,Yes,#000000,#333333,#B8860B,#F5F5F5,#000000,15:1,Yes,Yes,Partial,Premium dark colors work well. Test gold accent visibility.
5,Service Landing Page,service landing page, #3B82F6, #60A5FA, #F97316, #F8FAFC, #1E293B, #E2E8F0,Brand primary + trust colors,Yes,#0056B3,#2563EB,#DC2626,#FFFFFF,#1A1A1A,7:1,Yes,Yes,Yes,Standard and reliable for business presentations.
6,B2B Service,b2b service, #0F172A, #334155, #0369A1, #F8FAFC, #020617, #E2E8F0,Professional blue + neutral grey,Yes,#000000,#334155,#0369A1,#F5F5F5,#000000,15:1,Yes,Yes,Yes,Conservative and professional. Good for corporate.
7,Financial Dashboard,financial dashboard, #3B82F6, #60A5FA, #F97316, #F8FAFC, #1E293B, #E2E8F0,Dark bg + red/green alerts + trust blue,No,#1E3A5F,#2563EB,#DC2626,#1A1A1A,#F5F5F5,12:1,Yes,No,Partial,Dark backgrounds require dim room. Use light mode for projectors.
8,Analytics Dashboard,analytics dashboard, #3B82F6, #60A5FA, #F97316, #F8FAFC, #1E293B, #E2E8F0,Cool→Hot gradients + neutral grey,Yes,#0056B3,#3B82F6,#DC2626,#FFFFFF,#1A1A1A,7:1,Yes,Yes,Yes,Chart colors need to be distinguishable. Use patterns if needed.
9,Healthcare App,healthcare app, #0891B2, #22D3EE, #059669, #ECFEFF, #164E63, #A5F3FC,Calm blue + health green + trust,Yes,#0E7490,#0891B2,#059669,#F0F9FF,#0F172A,12:1,Yes,Yes,Yes,Calming colors work well. Green should be distinguishable.
10,Healthcare Professional,healthcare professional, #0284C7, #38BDF8, #059669, #F0F9FF, #0C4A6E, #7DD3FC,Medical blue + clinical white,Yes,#0369A1,#0284C7,#16A34A,#FFFFFF,#0F172A,15:1,Yes,Yes,Yes,Clinical and professional. Good for medical presentations.
11,Medical Clinic,medical clinic, #0077B6, #023E8A, #D00000, #FFFFFF, #1A1A1A, #CED4DA,Trust blue + clinical white + urgent red,Yes,#0056B3,#0077B6,#B91C1C,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Use red sparingly for urgent items only.
12,Dental Practice,dental practice, #2DD4BF, #0D9488, #F59E0B, #F5F5F9, #134E4A, #99F6E4,Fresh mint + clean white + warm accent,Yes,#0D9488,#14B8A6,#D97706,#FFFFFF,#0F172A,12:1,Yes,Yes,Yes,Fresh and clean. Good for patient-facing presentations.
13,Education,education, #7C3AED, #8B5CF6, #F59E0B, #F5F3FF, #1E1B4B, #C4B5FD,Inspiring purple + accent yellow,Yes,#6D28D9,#7C3AED,#D97706,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Energetic and engaging for student audiences.
14,Education Formal,education formal, #1E40AF, #3B82F6, #0D9488, #EFF6FF, #1E3A8A, #BFDBFE,Academic blue + formal white,Yes,#1E3A8A,#2563EB,#0F766E,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Traditional academic colors. Good for formal presentations.
15,Startup Tech,startup tech, #6366F1, #818CF8, #F97316, #F8FAFC, #1E1B4B, #C7D2FE,Modern purple + vibrant orange,Yes,#4F46E5,#6366F1,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Modern and energetic. Good for pitch decks.
16,Startup Growth,startup growth, #059669, #10B981, #F97316, #F0FDF4, #064E3B, #A7F3D0,Growth green + vibrant orange,Yes,#047857,#059669,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Positive and forward-looking. Good for investor presentations.
17,Fintech,fintech, #0F172A, #1E293B, #F59E0B, #F8FAFC, #000000, #E2E8F0,Dark tech + gold accent,No,#000000,#1E293B,#D97706,#F5F5F5,#000000,15:1,Yes,No,Partial,Dark theme requires dim room. Consider light mode for projectors.
18,Fintech Professional,fintech professional, #0369A1, #0EA5E9, #059669, #F0F9FF, #0C4A6E, #7DD3FC,Professional blue + success green,Yes,#075985,#0284C7,#047857,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Trustworthy and professional. Good for financial presentations.
