Animation_ID,Animation_Name,Animation_Category,Effect_Type,Subtype,Duration_Seconds_Duration,Duration_Seconds_Fast,Duration_Seconds_Slow,Trigger,Direction,Applicability_Score,Best_For,Avoid_For,Complexity,Accessibility_Score,PowerPoint_Equivalent,RevealJS_equivalent,Description
1,Fade In,Entrance,Opacity,Standard,0.8,0.5,1.2,On Click,None,Very High,"Text-heavy slides, professional contexts, simple reveals","Key moments, emphasis needs, headlines",Low,High,Fade,{'data-autoslide':''} | fade,"Gradual opacity increase from 0% to 100%",Very High
2,Fade Out,Exit,Opacity,Standard,0.6,0.4,1.0,On Click,None,High,"Subtle exits, removing content smoothly","Urgent messages, call-to-action slides",Low,High,Fade Out,{'data-autoslide':''} | fade-out,"Gradual opacity decrease from 100% to 0%",High
3,Slide In Left,Entrance,Translate,Horizontal,0.7,0.4,1.0,On Click,Left,High,"Sequential bullet points, lists, left-aligned content","Centered content, full-width images",Low,Medium,Slide In (From Left),{'data-autoslide':''} | fade,"Element slides in from the left side",High
4,Slide In Right,Entrance,Translate,Horizontal,0.7,0.4,1.0,On Click,Right,High,"Balancing compositions, comparison slides","Screenshots with text on left",Low,Medium,Slide In (From Right),{'data-autoslide':''} | fade,"Element slides in from the right side",High
5,Slide In Top,Entrance,Translate,Vertical,0.6,0.4,0.9,On Click,Top,Medium,"Header content, section introductions","Full visuals, image-heavy slides",Low,Medium,Slide In (From Top),{'data-autoslide':''} | fade,"Element slides in from the top",High
6,Slide In Bottom,Entrance,Translate,Vertical,0.6,0.4,0.9,On Click,Bottom,Medium,"Footers, copyright info, concluding elements","Opening slides, hero sections",Low,Medium,Slide In (From Bottom),{'data-autoslide':''} | fade,"Element slides in from the bottom",High
7,Wipe Left,Entrance,Clip,Horizontal,0.6,0.4,0.8,On Click,Left,Medium,"Step-by-step reveals, sequential information","Multiple items (7+), complex charts",Medium,Poor,Wipe (Left),{'data-autoslide':''} | fade,"Element revealed as horizontal wipe from left",Medium
8,Wipe Up,Entrance,Clip,Vertical,0.6,0.4,0.8,On Click,Up,Medium,"Timeline reveals, vertical processes","Complex charts, dense information",Medium,Poor,Wipe (Up),{'data-autoslide':''} | fade,"Element revealed as vertical wipe from bottom to top",Medium
9,Appear,Entrance,Opacity,Instant,0.4,0.2,0.6,On Click,None,Very High,"Simple content reveals, Q&A references","Long lists, complex sequences",Low,Good,Appear,{'data-autoslide':''} | fade,"Instant appearance without animation (placeholder name)",High
10,Pulse,Emphasis,Scale,Pulse,0.5,0.3,0.8,On Click,None,High,"Emphasizing key numbers or call-to-action","Small text elements",Medium,Medium,Pulse,{'data-autoslide':''} | fade,"Subtle scale up and down to draw attention",Medium
11,Swivel,Emphasis,Rotate,3D,0.6,0.4,1.0,On Click,None,Medium,"Images, product photos, circular elements","Text content, serious presentations",Medium,Poor,Swivel,{'data-autoslide':''} | fade,"3D rotation effect on element",Medium
12,Color Font,Emphasis,Color,Text,0.4,0.2,0.6,On Click,None,Medium,"Emphasizing keywords within text","Long text blocks",Low,Medium,Font Color,{'data-autoslide':''} | fade,"Text color changes to emphasize",Low
13,Fly Out,Exit,Translate,Horizontal,0.5,0.3,0.8,On Click,Right,Medium,"Removing completed items from lists","Important content that viewers need",Medium,Poor,Fly Out,{'data-autoslide':''} | fade-out,"Element flies out to the right",Medium
14,Shrink,Exit,Scale,Shrink,0.4,0.2,0.6,On Click,None,Medium,"Dimming less important content","Key information viewers need",Low,Good,Shrink,{'data-autoslide':''} | fade-out,"Element shrinks in size while fading",Low
15,Grow with Color,Emphasis,Scale+Color,Combined,0.8,0.5,1.2,On Click,None,Medium,"Call-to-action buttons, important elements","Small text, subtle content",Medium,Medium,Grow/Shrink,{'data-autoslide':''} | fade,"Element grows in size while changing color",Medium
16,Spin,Emphasis,Rotate,360,0.8,0.5,1.2,On Click,None,Low,"Icons, logos, circular elements","Text, complex shapes",High,Poor,Spin,{'data-autoslide':''} | fade,"Element spins 360 degrees",High
17,Random Bars,Entrance,Clip,Horizontal,0.8,0.5,1.2,On Click,None,Low,"Section headers, creative presentations","Business contexts, simple slides",Medium,Poor,Wipe (Bars),{'data-autoslide':''} | fade,"Content revealed through random horizontal bars",Medium
18,Blinds,Entrance,Clip,Vertical,0.7,0.5,1.0,On Click,None,Low,"Confidential content, dramatic reveals","Professional, simple presentations",Medium,Poor,Blinds,{'data-autoslide':''} | fade,"Content revealed through vertical blind-like strips",Medium
19,Box,Entrance,Clip,Rectangular,0.6,0.4,0.9,On Click,None,Medium,"Image reveals, card-style content","Text lists, bullet points",Medium,Poor,Box,{'data-autoslide':''} | fade,"Content revealed in rectangular box pattern",Medium
20,Checkerboard,Entrance,Clip,Grid,0.9,0.6,1.3,On Click,None,Low,"Games, quizzes, playful content","Business presentations, serious content",High,Poor,Checkerboard,{'data-autoslide':''} | fade,"Content revealed in checkerboard grid pattern",High
21,Morph,Transition,Path,Advanced,1.5,1.0,2.5,With Previous,None,Low,"Advanced users, connecting related elements","Simple presentations, beginners",Very High,Very Poor,Morph,{'data-autoslide':''} | none,"Seamless shape transition between elements",Very High
22,Push,Transition,Translate,Horizontal,0.5,0.3,0.7,With Previous,Left,High,"Section transitions, slide progressions","Cluttered slides with complex content",Low,Good,Push,{'data-autoslide':''} | slide,"Current slide pushed out by incoming slide",High
23,Wipe Transition,Transition,Clip,Horizontal,0.5,0.3,0.7,With Previous,Right,Medium,"Simple slide transitions","Complex visuals that may flicker",Low,Medium,Wipe,{'data-autoslide':''} | slide,"Wipe transition between slides",Medium
24,Split,Transition,Clip,In-Out,0.6,0.4,0.8,With Previous,In,Medium,"Reveal effects, dramatic transitions","Subtle transitions, quick presentations",Low,Medium,Split,{'data-autoslide':''} | fade,"Slide splits and reveals new slide",Medium
25,Flash,Emphasis,Opacity,Pulse,0.3,0.2,0.5,On Click,None,Low,"Alerts, warnings, important announcements","Professional contexts, subtle emphasis",Medium,Poor,Flash,{'data-autoslide':''} | fade,"Brief flash effect for emphasis",Low
26,Shimmer,Emphasis,Gradient,Progressive,1.0,0.7,1.5,On Click,None,Medium,"New features, special announcements","Simple slides, short time",Medium,Medium,Not Available,{'data-autoslide':''} | fade,"Gradient shimmer effect across element",Medium
27,Roll Up,Entrance,Translate,Vertical,0.7,0.5,1.0,On Click,Up,Medium,"Lists, vertical content, bullet points","Horizontal content, wide images",Low,Medium,Not Available,{'data-autoslide':''} | fade,"Element rolls up from bottom",Medium
28,Peek In,Entrance,Translate,Horizontal,0.6,0.4,0.9,On Click,Left,Medium,"Images, cards, partial reveals","Full slides, serious content",Low,Medium,Not Available,{'data-autoslide':''} | fade,"Element peeks in from side then fully appears",Medium
29,Expand,Emphasis,Scale,Radial,0.8,0.5,1.2,On Click,None,Medium,"Maps, diagrams, radial content","Text-heavy slides",Medium,Medium,Not Available,{'data-autoslide':''} | fade,"Element expands outward from center",Medium
30,Conveyor,Entrance,Translate,Horizontal,1.0,0.7,1.5,On Click,Left,Low,"Process flows, sequential steps","Simple 1-2 item slides",Medium,Poor,Not Available,{'data-autoslide':''} | fade,"Items slide in like conveyor belt",Low
31,Floating,Emphasis,Translate,Sine,1.0,0.7,1.5,With Previous,Up,Low,"Playful content, creative presentations","Serious business, formal contexts",High,Medium,Not Available,{'data-autoslide':''} | fade,"Gentle floating motion effect",Low
32,Paragraph Fade,Entrance,Opacity,Sequential,1.2,0.8,1.8,On Click,None,High,"Paragraphs, multi-line text blocks","Short content, quick pace",Low,Medium,Not Available,{'data-autoslide':''} | fade,"Lines fade in one by one sequentially",High
33,Bullet Fade,Entrance,Opacity,Sequential,0.5,0.3,0.8,On Click,None,Very High,"Bullet lists, sequential points","Single items, immediate reveal",Low,Very High,Not Available,{'data-autoslide':''} | fade,"Each bullet fades in individually",Very High
34,Chart Build,Emphasis,Scale+Opacity,Sequential,1.5,1.0,2.5,On Click,None,High,"Data charts, graph reveals","Non-data slides",Medium,Medium,Not Available,{'data-autoslide':''} | fade,"Chart elements build up sequentially",High
35,Zoom In,Emphasis,Scale,Radial,0.8,0.5,1.2,On Click,None,High,"Focus areas, key points within images","Full text slides",Medium,Medium,Zoom,{'data-autoslide':''} | fade,"Element zooms in from center",High
