Layout_ID,Layout_Name,Layout_Category,Content_Slots,Description,Best_For,Keywords,Aspect_Ratio_169,Aspect_Ratio_43,Minimum_Font_Size,Reading_Distance,Slide_Usage_Priority,Complexity_Score
1,Title Slide,Opening,"Title:Main; Subtitle:Secondary; Background:Image/Color","Opening slide with large title, optional subtitle, and visual background","Opening presentation, keynotes, brand-focused slides","title, opening, hero, keynote, presentation start",16:9,4:3,48pt,20ft+,Very High,Low
2,Section Divider,Transition,"Section_Title:Main; Icon:Optional","Section break slide with clear section title and optional icon","Section transitions, chapter breaks, topic changes","section, divider, chapter, break, transition",16:9,4:3,44pt,15ft+,High,Low
3,Agenda/Contents,Overview,"Agenda_Items:List; Time:Optional","Outline slide listing main sections with optional time allocation","Agenda overview, setting expectations, roadmap preview","agenda, contents, overview, outline, roadmap",16:9,4:3,28pt,15ft,High,Low
4,Title and Content,Standard,"Title:Top; Body:Main; Visual:Optional","Most versatile layout with title at top and content area below","Standard information slides, explanations, detailed content","title content, standard, information, detail",16:9,4:3,24pt,12ft,Very High,Low
5,Two Content,Comparison,"Title:Top; Left_Body:Left; Right_Body:Right; Summary:Optional","Two-column content layout for comparison or contrast","Compare options, before/after, pros/cons, alternatives","two column, comparison, compare, alternatives, pros cons",16:9,4:3,22pt,12ft,Very High,Low
6,Title Only,Flexible,"Title:Top; Body:Empty","Minimal layout with only title, full freedom for custom content","Custom layouts, image-heavy slides, full-bleed visuals","title only, blank, custom, flexible",16:9,4:3,36pt,15ft,Medium,Low
7,Blank,Custom,"Title:Optional; Body:Empty","Completely empty canvas for maximum design freedom","Custom designs, creative slides, infographic slides","blank, empty, custom, creative",16:9,4:3,N/A,N/A,Low,Medium
8,Picture with Caption,Visual,"Title:Top; Image:Main; Caption:Bottom","Image-focused layout with space for caption below","Feature images, product photos, case studies, visual stories","picture, photo, image, caption, visual",16:9,4:3,24pt,15ft,High,Low
9,Comparison Table,Decision,"Title:Top; Table:Main; Summary:Bottom","Structured table layout for direct comparison of multiple items","Feature comparison, pricing tiers, option evaluation","comparison, table, matrix, decision",16:9,4:3,18pt,10ft,High,Medium
10,Chart/Data Visualization,Data,"Title:Top; Chart:Main; Legend:Optional; Notes:Bottom","Layout optimized for charts, graphs, and data visualizations","Data presentation, trends, metrics, statistics","chart, graph, data, visualization, metrics",16:9,4:3,20pt,12ft,Very High,Medium
11,Quote/Testimonial,Testimonial,"Quote:Main; Author:Bottom; Background:Visual","Large quote or testimonial with attribution at bottom","Customer quotes, expert opinions, key messages, social proof","quote, testimonial, review, endorsement",16:9,4:3,28pt,15ft,High,Low
