Rule_ID,Presentation_Category,Applicable_Patterns,Primary_Style,Secondary_Style,Color_Mood,Typography_Mood,Default_Duration_Min,Max_Slides,Slide_Pacing_Seconds,Animation_Intensity,Transition_Style,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Audience_Adaptation,Tone_Adjustment
1,Business Presentation,"Standard Business,Quarterly Review,Board Presentation,All-Hands","Minimalism + Swiss Style","Trust & Authority","Professional blue #003366 + Grey #6B7280","Clear + Professional: Title 40pt Body 24pt",20,20,90,Low,Push or Fade,"Subtle fade + Clean transitions","{""if_short"": ""reduce_to_10_slides"", ""if_quarterly"": ""emphasize_metrics"", ""if_board"": ""include_financials"", ""if_all_hands"": ""include_recognition""}",Text-heavy slides + Complex charts + Too many fonts + Missing conclusion,High,Executives:Lead_with_takeaways; Employees:Include_progress,Professional_to_supportive
2,Product Launch,"Product Launch,Product Announcement,Product Demo","Motion-Driven + Hero-Centric","Vibrant & Block-based","Bold primaries + Accent colors","Modern + Bold: Title 48pt Body 28pt",25,25,60,High,Slide or Push,"Reveal animations + Energetic transitions","{""if_b2b"": ""emphasize_roi"", ""if_consumer"": ""emphasize_benefits"", ""if_saas"": ""include_demo"", ""if_hardware"": ""include_visuals""}",Slow pacing + Too many features + Missing CTA + Poor demo,High,Tech_audience:Deep_dive; General:Benefits_first,Exciting_to_professional
3,Investor Pitch,"Investor Pitch,Strategic Planning","Trust & Authority + Minimalism","Glassmorphism","Trust blue #0066CC + Navy #001F3F","Clear + Confident: Title 44pt Body 22pt",10,15,40,Medium,Fade or Push,"Clean reveals + Data emphasis","{""if_seed"": ""emphasize_team"", ""if_series_a"": ""emphasize_growth"", ""if_enterprise"": ""emphasize_market"", ""if_ask_clear"": ""end_with_ask""}",Reading slides + Unclear ask + Ignoring competition + Unrealistic projections,High,VCs:Market_size; Angels:Team_passion,Persuasive_to_confident
4,Training Workshop,"Training Workshop,Employee Onboarding,Technical Deep Dive","Accessible & Ethical","Claymorphism","Calm colors + Clear hierarchy","Friendly + Engaging: Title 40pt Body 26pt",60,40,120,Medium,Smooth Fade,"Step-by-step reveals + Progress indicators","{""if_interactive"": ""add_activities"", ""if_theoretical"": ""add_examples"", ""if_technical"": ""include_code"", ""if_beginner"": ""start_basics""}",Passive content + Monotone delivery + No examples + Too fast,Medium,Beginners:More_examples; Experts:Advanced_topics,Engaging_to_educational
5,Conference Talk,"Conference Talk,Storytelling Narrative","Storytelling-Driven + Motion-Driven","Motion-Driven","Vibrant + Energetic colors","Inspiring + Bold: Title 48pt Body 26pt",30,25,72,High,Slide or Zoom,"Story reveals + Dramatic pauses","{""if_keynote"": ""high_energy"", ""if_ted_style"": ""story_first"", ""if_panel"": ""include_guests"", ""if_long"": ""include_break""}",Reading slides + Too long + No story structure + Ignoring audience,High,General_audience:Stories; Experts:Deep_insights,Inspiring_to_engaging
6,Quarterly Review,"Quarterly Business Review,Daily Standup","Data-Dense + Minimal","Trust & Authority","Professional blue + Grey","Clear + Analytical: Title 40pt Body 22pt",25,25,72,Low,Push or Fade,"Chart animations + Metric reveals","{""if_positive"": ""highlight_success"", ""if_negative"": ""focus_solution"", ""if_team"": ""recognize_achievements"", ""if_enterprise"": ""include_strategy""}",Cherry-picking data + No context + Missing action items + Vague goals,High,Leadership:Strategy; Managers:Actions; IC:Details,Analytical_to_supportive
7,Crisis Communication,"Crisis Communication","Minimal + Direct","Flat Design","Calm + Urgent colors","Clear + Direct: Title 44pt Body 24pt",10,8,60,None (Minimal),Fade only,"No animations + Clear transitions","{""if_urgent"": ""be_direct"", ""if_emotional"": ""show_compassion"", ""if_action_needed"": ""clear_next_steps"", ""if_frequent_updates"": ""provide_timeline""}",Mixed messages + Delay + Ambiguity + No plan,Critical,All_stakeholders:Consistent_message,Urgent_to_reassuring
8,Design Review,"Design Review,Case Study","Inclusive Design + Minimal","Neumorphism","Brand + Neutral","Clear + Creative: Title 40pt Body 24pt",25,20,72,Medium,Smooth Fade,"Before/after reveals + Iteration highlights","{""if_critique"": ""open_feedback"", ""if_review"": ""focus_solutions"", ""if_creative"": ""show_process"", ""if_client"": ""include_impact""}",Personal attacks + No direction + Vague feedback + Long monologues,Medium,Designers:Process_details; Clients:Impact_focus,Collaborative_to_supportive
9,Technical Workshop,"Technical Deep Dive,Technical Workshop","Minimal + Accessible & Ethical","Dark Mode (OLED)","Technical + Clear colors","Technical + Clear: Title 40pt Body 20pt code 16pt",90,50,108,Medium,Smooth Fade,"Code highlights + Step reveals","{""if_beginner"": ""explain_basics"", ""if_advanced"": ""focus_advanced"", ""if_code_heavy"": ""include_live_demo"", ""if_conceptual"": ""use_diagrams""}",Assumptions + No examples + Too fast + Missing context,High,Developers:Code_examples; Managers:Business_impact,Technical_to_educational
10,Marketing Webinar,"Customer Webinar,Customer Success Story","Conversion-Optimized + Trust","Glassmorphism","Professional + Warm colors","Engaging + Clear: Title 42pt Body 24pt",40,30,80,Medium,Fade or Push,"Value-first reveals + CTA emphasis","{""if_lead_gen"": ""lead_magnet"", ""if_educational"": ""value_first"", ""if_product"": ""include_demo"", ""if_case_study"": ""include_results""}",Hard selling + No value + Too long + Missing CTA,Medium,Prospects:Value; Customers:Features,Educational_to_persuasive
