Typography_ID,Font_Pairing_Name,Category,Heading_Font,Body_Font,Presentation_Use,Slide_Title_Size,Slide_Body_Size,Slide_Caption_Size,Slide_Number_Size,Screen_Size,Projector_Size,Minimum_Visible_Size,Google_Fonts_URL,CSS_Import,Tailwind_Config,Mood_Style_Keywords,Best_For_Presentation,Worst_For_Presentation,Reading_Distance,Contrast_Notes,Accessibility_Notes
1,Classic Elegant,Serif + Sans,Playfair Display,Inter,Title Slides + Cover,48-60pt,24-32pt,18-20pt,12pt,All,48-60pt,24pt,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Playfair+Display:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Playfair+Display:wght@400;500;600;700&display=swap');","fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] }","elegant luxury sophisticated timeless premium editorial","Keynote speeches, Luxury brands, Executive presentations, Award ceremonies","Technical presentations, Data-heavy, Small screens",15-30ft,"High contrast between serif heading and clean body. Excellent readability.",Very Good for presentations
2,Modern Professional,Sans + Sans,Poppins,Open Sans,All Slide Types,44-54pt,24-32pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Open+Sans:wght@300;400;500;600;700|Poppins:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Open+Sans:wght@300;400;500;600;700&family=Poppins:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","modern professional clean corporate friendly approachable","Corporate presentations, Business meetings, Training sessions, All general use","None - universal",15-30ft,"Geometric Poppins for headings, humanist Open Sans for readability.",Excellent for presentations
3,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,Title + Content Slides,48-56pt,24-32pt,18-20pt,12pt,All,48-56pt,24pt,https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;700|Space+Grotesk:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;700&family=Space+Grotesk:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }","tech startup modern innovative bold futuristic","Startup pitches, Tech conferences, Innovation showcases, Product launches","Formal finance, Conservative industries",15-30ft,"Space Grotesk has unique character, DM Sans highly readable.",Good for presentations
4,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,Title + Quote Slides,48-60pt,24-32pt,18-22pt,12pt,All,48-60pt,24pt,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Libre+Baskerville:wght@400;700,"@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Libre+Baskerville:wght@400;700&display=swap');","fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] }","editorial classic literary traditional refined bookish","Publishing presentations, Editorial content, Literary events, Historic anniversaries","Technical, Modern tech, Data-heavy",15-30ft,"All-serif pairing for traditional editorial feel.",Good for presentations
5,Minimal Swiss,Sans + Sans,Inter,Inter,All Slide Types + Data,42-52pt,22-30pt,16-20pt,12pt,All,42-52pt,22pt,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Inter', 'sans-serif'] }","minimal clean swiss functional neutral professional","Dashboards, Data presentations, Documentation, Enterprise apps, Design systems","Creative showcases, Entertainment",15-30ft,"Single font family with weight variations. Ultimate simplicity.",Excellent for presentations
6,Playful Creative,Display + Sans,Fredoka,Nunito,Title + Feature Slides,48-60pt,24-32pt,18-22pt,12pt,All,48-60pt,24pt,https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Fredoka', 'sans-serif'], body: ['Nunito', 'sans-serif'] }","playful friendly fun creative warm approachable","Children's content, Educational, Creative agencies, Entertainment, Gaming","Formal business, Finance, Legal",15-30ft,"Rounded friendly fonts perfect for playful presentations.",Good for presentations
7,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,Title + Hero Slides,54-72pt,24-32pt,18-22pt,12pt,All,54-72pt,24pt,https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Source+Sans+3:wght@300;400;500;600;700&display=swap');","fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }","bold impactful strong dramatic modern headlines","Marketing, Events, Sports, Entertainment, Hero sections","Long-form reading, Data tables",15-30ft,"Bebas Neue for large headlines only. All-caps display font.",Good for large venues
8,Wellness Calm,Serif + Sans,Lora,Raleway,Title + Quote Slides,46-56pt,24-30pt,18-20pt,12pt,All,46-56pt,24pt,https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Raleway:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Raleway:wght@300;400;500;600;700&display=swap');","fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] }","calm wellness health relaxing natural organic","Health presentations, Spa, Meditation, Yoga, Organic brands, Wellness services","Technical, Fast-paced",15-30ft,"Lora's organic curves with Raleway's elegant simplicity.",Good for presentations
9,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,Code + Technical Slides,42-50pt,20-28pt,16-20pt,12pt,All,42-50pt,20pt,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');","fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }","code developer technical precise functional hacker","Developer tools, Technical training, API documentation, Coding tutorials, Engineering presentations","Creative, Design, Marketing",15-30ft,"JetBrains for code, IBM Plex for UI. Developer-focused.",Good for technical presentations
10,Corporate Trust,Sans + Sans,IBM Plex Sans,IBM Plex Sans,All Slide Types,44-54pt,24-32pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['IBM Plex Sans', 'sans-serif'] }","corporate trustworthy professional clear sophisticated","Enterprise, Government, Finance, Legal, Corporate communications","Creative, Entertainment, Informal",15-30ft,"IBM Plex family for consistent corporate typography.",Excellent for presentations
